Borough,Number,Street
Staten Island,94,SCOTT AVENUE
Staten Island,94,SCOTT AVENUE
Staten Island,94,SCOTT AVENUE
Staten Island,94,SCOTT AVENUE
Brooklyn,1046,EAST  18 STREET
Staten Island,211,QUINTARD STREET
Staten Island,194,QUINTARD STREET
Staten Island,190,QUINTARD STREET
Staten Island,190,QUINTARD STREET
Staten Island,186,QUINTARD STREET
Staten Island,182,QUINTARD STREET
Staten Island,176,QUINTARD STREET
Staten Island,176,QUINTARD STREET
Staten Island,174,QUINTARD STREET
Staten Island,174,QUINTARD STREET
Queens,157-38,97 STREET
Queens,160-22,97 STREET
Brooklyn,98,KENT STREET
Queens,58-01,59 STREET
Brooklyn,107A,MARCUS GARVEY BOULEVARD
Brooklyn,532,LAFAYETTE AVENUE
Brooklyn,457,CLASSON AVENUE
Brooklyn,136,MADISON STREET
Brooklyn,134,MADISON STREET
Brooklyn,535,THROOP AVENUE
Brooklyn,572,HALSEY STREET
Brooklyn,6,LOMBARDY STREET
Brooklyn,49,APOLLO STREET
Bronx,X 404,X SCREVIN AVENUE
Bronx,3272,BOSTON ROAD
Bronx,3260,BOSTON ROAD
Bronx,1124,EAST GUN HILL ROAD
Brooklyn,1298,EAST 17 STREET
Brooklyn,1298,EAST 17 STREET
Brooklyn,1298,EAST 17 STREET
Queens,56-40,OCEANIA STREET
Queens,353,BEACH 149 STREET
Queens,65-001,DE COSTA AVENUE
Queens,,
Queens,,
Queens,,
Brooklyn,1600,AVENUE L
Brooklyn,1600,AVENUE L
Brooklyn,1600,AVENUE L
Manhattan,115,CENTRAL PARK WEST
Bronx,780,EAST 133 STREET
Bronx,767,EAST 133 STREET
Bronx,720,EAST 135 STREET
Bronx,715,EAST 135 STREET
Bronx,728,EAST 136 STREET
Bronx,728,EAST 136 STREET
Bronx,728,EAST 136 STREET
Bronx,728,EAST 136 STREET
Bronx,183,WILLOW AVENUE
Manhattan,145,CENTRAL PARK WEST
Queens,53-16,244 STREET
Manhattan,239,9 AVENUE
Manhattan,2,WEST 71 STREET
Manhattan,2,WEST 71 STREET
Manhattan,144,WEST 70 STREET
Manhattan,130,WEST 70 STREET
Manhattan,517,WEST 19 STREET
Manhattan,165,EAST 104 STREET
Brooklyn,1078,EAST  12 STREET
Brooklyn,1230,EAST  12 STREET
Brooklyn,1270,EAST  12 STREET
Brooklyn,1545,CONEY ISLAND AVENUE
Brooklyn,1483,CONEY ISLAND AVENUE
Brooklyn,1455,CONEY ISLAND AVENUE
Brooklyn,1111,AVENUE K
Brooklyn,1363,CONEY ISLAND AVENUE
Brooklyn,1253,CONEY ISLAND AVENUE
Brooklyn,1253,CONEY ISLAND AVENUE
Brooklyn,1212,AVENUE I
Brooklyn,1204,AVENUE I
Manhattan,506,WEST  21 STREET
Bronx,360,EAST 146 STREET
Bronx,312,EAST 165 STREET
Bronx,312,EAST 165 STREET
Bronx,990,COLLEGE AVENUE
Bronx,281,ST ANNS AVENUE
Bronx,243,WILLIS AVENUE
Manhattan,206,SULLIVAN STREET
Manhattan,206,SULLIVAN STREET
Manhattan,225,SULLIVAN STREET
Manhattan,156,SULLIVAN STREET
Queens,60-54,HEWLETT STREET
Queens,246-06,CULLMAN AVENUE
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Queens,65-22,78 AVENUE
Queens,32-23,87 STREET
Manhattan,635,AVENUE OF THE AMERICAS
Manhattan,314,WEST 23 STREET
Queens,161-015,90 STREET
Queens,163-004,88 STREET
Brooklyn,1615,AVENUE I
Manhattan,120,4 AVENUE
Manhattan,32,MERCER STREET
Manhattan,11,MERCER STREET
Queens,,
Manhattan,59,BEDFORD STREET
Queens,235-22,KNOLLWOOD AVENUE
Manhattan,308,WEST  30 STREET
Manhattan,301,11 AVENUE
Queens,43-22,NORTHERN BLVD
Queens,35-32,203 STREET
Queens,39-16,203 STREET
Queens,97-20,161 AVENUE
Brooklyn,206,POWERS STREET
Brooklyn,195,MESEROLE STREET
Brooklyn,127,BLAKE AVENUE
Brooklyn,884,THOMAS S BOYLAND STREET
Brooklyn,130,LOTT AVENUE
Brooklyn,124,LOTT AVENUE
Brooklyn,565,MOTHER GASTON BOULEVARD
Brooklyn,522,LEXINGTON AVENUE
Brooklyn,730,LAFAYETTE AVENUE
Brooklyn,249,TOMPKINS AVENUE
Brooklyn,55,WATER STREET
Brooklyn,53,WATER STREET
Queens,88-14,218 STREET
Queens,90-12,148 STREET
Brooklyn,97,EAST  3 STREET
Queens,86-37,251 STREET
Queens,131-79,228 STREET
Manhattan,180,8 AVENUE
Manhattan,676,HUDSON STREET
Manhattan,338,WEST  14 STREET
Manhattan,245,WEST  14 STREET
Manhattan,238,WEST  14 STREET
Manhattan,204,WEST  14 STREET
Manhattan,100,WEST  16 STREET
Queens,156-06,79 STREET
Bronx,,
Queens,,
Brooklyn,1447,EAST  14 STREET
Brooklyn,1445,EAST 14 STREET
Brooklyn,1441,EAST  14 STREET
Brooklyn,1249,EAST  18 STREET
Brooklyn,1800,AVENUE L
Brooklyn,1361,EAST  19 STREET
Brooklyn,1377,EAST  19 STREET
Brooklyn,1387,EAST  19 STREET
Brooklyn,1819,AVENUE N
Brooklyn,1428,EAST  19 STREET
Brooklyn,1454,EAST  19 STREET
Brooklyn,1472,EAST  19 STREET
Brooklyn,1470,EAST  19 STREET
Brooklyn,1468,EAST  19 STREET
Brooklyn,1902,AVENUE O
Brooklyn,1587,EAST  19 STREET
Manhattan,364,CATHEDRAL PARKWAY
Manhattan,,
Manhattan,2850,BROADWAY
Staten Island,,
Brooklyn,4510,13 AVENUE
Brooklyn,4414,13 AVENUE
Brooklyn,4410,13 AVENUE
Brooklyn,4304,12 AVENUE
Brooklyn,3820,12 AVENUE
Brooklyn,3820,12 AVENUE
Brooklyn,3812,12 AVENUE
Staten Island,2512,ARTHUR KILL ROAD
Brooklyn,268,FRANKLIN STREET
Brooklyn,250,FRANKLIN STREET
Manhattan,138,FRANKLIN STREET
Brooklyn,1017,MANHATTAN AVENUE
Brooklyn,202,GREEN STREET
Brooklyn,175,HURON STREET
Bronx,2150,DAVIDSON AVENUE
Manhattan,442,10 AVENUE
Manhattan,456,WEST  57 STREET
Brooklyn,1378,CONEY ISLAND AVENUE
Brooklyn,1488,CONEY ISLAND AVENUE
Brooklyn,1015,AVENUE N
Queens,248-20,DEPEW AVENUE
Queens,208-01,UNION TURNPIKE
Queens,210-19,82 AVENUE
Brooklyn,,
Brooklyn,,
Queens,,
Brooklyn,,
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Queens,,
Queens,,
Queens,,
Brooklyn,,
Queens,,
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Manhattan,,
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,3901,NOSTRAND AVENUE
Queens,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Brooklyn,,
Queens,,
Manhattan,*,WARDS MEADOW LP
Brooklyn,,
Queens,,
Brooklyn,,
Brooklyn,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Queens,,
Manhattan,*,HELL GARE CIRCLE
Manhattan,,
Brooklyn,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Manhattan,,
Manhattan,,
Brooklyn,,
Brooklyn,,
Queens,,
Manhattan,,
Queens,,
Brooklyn,102,FRANKLIN STREET
Brooklyn,77,FREEMAN STREET
Brooklyn,76,FREEMAN STREET
Brooklyn,15,FRANKLIN STREET
Manhattan,641,WEST 51 STREET
Manhattan,692,12 AVENUE
Brooklyn,84,FRANKLIN STREET
Brooklyn,79,FRANKLIN STREET
Queens,34-06,255 STREET
Queens,42-04,248 STREET
Brooklyn,613,WILLOUGHBY AVENUE
Brooklyn,160,HART STREET
Manhattan,348,WEST  56 STREET
Manhattan,694,10 AVENUE
Queens,82-57,259 STREET
Queens,254-05,HILLSIDE AVENUE
Staten Island,5,GRILLE COURT
Staten Island,80,AMBASSADOR LANE
Staten Island,0,ambassador lane and vet rd w
Manhattan,646,10 AVENUE
Manhattan,125,CHRISTOPHER STREET
Queens,83-40,WOODHAVEN BOULEVARD
Queens,89-40,135 STREET
Queens,89-31,135 STREET
Queens,95-11,67 AVENUE
Queens,95-18,67 AVENUE
Queens,95-27,67 AVENUE
Queens,88-06,69 ROAD
Queens,90-13,70 DRIVE
Queens,163-18,97 STREET
Queens,,
Manhattan,_,Margaret Corbin Plz
Manhattan,,
Manhattan,,
Manhattan,,
Manhattan,329,CONVENT AVENUE
Brooklyn,371,EAST  2 STREET
Brooklyn,361,EAST  2 STREET
Brooklyn,205,BEVERLY ROAD
Brooklyn,505,CHURCH AVENUE
Brooklyn,519,EAST  3 STREET
Brooklyn,541,EAST  3 STREET
Brooklyn,547,EAST  3 STREET
Brooklyn,591,E 3 ST
Brooklyn,511,EAST  2 STREET
Brooklyn,478,EAST  2 STREET
Brooklyn,462,EAST  2 STREET
Brooklyn,414,EAST  2 STREET
Brooklyn,717,EAST  3 STREET
Brooklyn,710,EAST  2 STREET
Brooklyn,685,EAST  2 STREET
Brooklyn,664,EAST  2 STREET
Brooklyn,651,EAST  2 STREET
Brooklyn,442,EAST  4 STREET
Brooklyn,416,EAST  5 STREET
Brooklyn,423,AVENUE F
Brooklyn,924,DITMAS AVENUE
Brooklyn,126,SACKMAN STREET
Brooklyn,126,SACKMAN STREET
Manhattan,678,HUDSON STREET
Manhattan,243,BLEECKER STREET
Brooklyn,32,MONTAUK AVENUE
Bronx,1462,WEBSTER AVENUE
Queens,66-32,FOREST AVENUE
Queens,64-12,FOREST AVENUE
Queens,59-13,PUTNAM AVENUE
Queens,66-92,FOREST AVENUE
Queens,62-11,COOPER AVENUE
Queens,60-062,80 AV
Queens,67-10,MYRTLE AVENUE
Queens,71-18,65 PLACE
Queens,71-26,67 PLACE
Queens,65-015,70 AV
Queens,71-50,72 PLACE
Queens,78-22,81 STREET
Queens,78-30,83 STREET
Queens,78-30,83 STREET
Queens,78-30,83 STREET
Bronx,757,BRYANT AVENUE
Bronx,670,BARRETTO STREET
Bronx,400,CASANOVA STREET
Bronx,300,MANIDA STREET
Bronx,347,COSTER STREET
Bronx,519,DRAKE STREET
Bronx,490,HUNTS POINT AVENUE
Bronx,1321,VIELE AVENUE
Bronx,321,MANIDA STREET
Bronx,1271,RYAWA AVENUE
Bronx,1271,RYAWA AVENUE
Bronx,441,EAST 148 STREET
Bronx,433,EAST 148 STREET
Bronx,453,EAST 160 STREET
Bronx,633,ST ANNS AVENUE
Bronx,633,ST ANNS AVENUE
Bronx,313,ST ANNS AVENUE
Brooklyn,1256,EAST 10 STREET
Brooklyn,1005,AVENUE P
Brooklyn,1418,EAST 15 STREET
Brooklyn,1348,CONEY ISLAND AVENUE
Brooklyn,991,EAST 10 STREET
Brooklyn,967,EAST 10 STREET
Brooklyn,1344,EAST 15 STREET
Brooklyn,1324,EAST 15 STREET
Brooklyn,1014,EAST  10 STREET
Brooklyn,1120,EAST 10 STREET
Brooklyn,1334,EAST 15 STREET
Brooklyn,1278,EAST 10 STREET
Brooklyn,1296,EAST 10 STREET
Brooklyn,1350,EAST 15 STREET
Brooklyn,1215,AVENUE O
Brooklyn,1351,EAST 13 STREET
Brooklyn,1663,CONEY ISLAND AVENUE
Brooklyn,1436,E 13 ST
Brooklyn,1407,AVENUE P
Brooklyn,1534,EAST 13 STREET
Brooklyn,1471,EAST 13 STREET
Brooklyn,1325,EAST 12 STREET
Queens,84-12,164 AVENUE
Staten Island,970,BLOOMINGDALE ROAD
Brooklyn,1344,74 STREET
Brooklyn,1258,65 STREET
Brooklyn,1242,64 STREET
Brooklyn,415,74 STREET
Brooklyn,7306,3 AVENUE
Brooklyn,1137,EAST  7 STREET
Brooklyn,1170,EAST  7 STREET
Brooklyn,1087,EAST  4 STREET
Brooklyn,1800,AVENUE L
Brooklyn,1225,EAST 18 STREET
Brooklyn,1471,EAST 13 STREET
Manhattan,128,ELIZABETH STREET
Manhattan,527,LENOX AVENUE
Manhattan,1,GANSEVOORT STREET
Manhattan,9,GANSEVOORT STREET
Manhattan,5,GAVENSVOORT
Manhattan,340,WEST  13 STREET
Manhattan,872,WASHINGTON STREET
Manhattan,860,WASHINGTON STREET
Manhattan,860,WASHINGTON STREET
Manhattan,229,SULLIVAN STREET
Manhattan,237,SULLIVAN STREET
Manhattan,860,WASHINGTON STREET
Manhattan,860,WASHINGTON
Brooklyn,1599,EAST 14 STREET
Brooklyn,1454,EAST 14 STREET
Manhattan,323,CANAL STREET
Manhattan,271,CANAL STREET
Manhattan,10,CROSBY STREET
Manhattan,13,CROSBY STREET
Manhattan,137,GRAND STREET
Manhattan,155,GRAND STREET
Brooklyn,1113,AVENUE O
Brooklyn,1564,EAST 14 STREET
Manhattan,52,WOOSTER STREET
Manhattan,50,WOOSTER STREET
Manhattan,511,WEST 44 STREET
Brooklyn,1523,EAST 14 STREET
Brooklyn,1436,EAST 14 STREET
Brooklyn,1225,EAST 18 STREET
Brooklyn,1270,EAST 18 STREET
Brooklyn,1414,EAST 14 STREET
Brooklyn,1898,BAY AVENUE
Brooklyn,1270,EAST 18 STREET
Brooklyn,1439,EAST 14 STREET
Brooklyn,1437,EAST 14 STREET
Brooklyn,1570,EAST 17 STREET
Brooklyn,1270,EAST 18 STREET
Manhattan,130,WEST  70 STREET
Manhattan,144,WEST  70 STREET
Manhattan,100,WEST  93 STREET
Manhattan,609,COLUMBUS AVENUE
Brooklyn,1257,EAST 18 STREET
Staten Island,2495,VETERANS ROAD WEST
Staten Island,2495,VETERANS ROAD WEST
Brooklyn,1355,E 18 ST
Staten Island,4,RETFORD AVENUE
Staten Island,1370,ARDEN AVENUE
Staten Island,32,BELFIELD AVENUE
Brooklyn,1355,E 18 ST
Brooklyn,1455,EAST 18 STREET
Brooklyn,1381,EAST 9 STREET
Brooklyn,1437,EAST 17 STREET
Brooklyn,1367,EAST 9 STREET
Brooklyn,1523,EAST 16 STREET
Brooklyn,1601,AVENUE O
Brooklyn,1480,EAST 17 STREET
Brooklyn,1433,EAST 17 STREET
Brooklyn,1369,EAST 9 STREET
Queens,158-15,80 STREET
Brooklyn,917,MANHATTAN AVENUE
Brooklyn,988,MANHATTAN AVENUE
Staten Island,2875,VETERANS ROAD WEST
Staten Island,2875,VETERANS ROAD WEST
Staten Island,2875,VETERANS ROAD WEST
Staten Island,2875,VETERANS ROAD WEST
Staten Island,2875,VETERANS ROAD WEST
Manhattan,19,WEST 131 STREET
Manhattan,15,WEST 131 STREET
Manhattan,16,WEST 131 STREET
Manhattan,6,WEST 130 STREET
Manhattan,2223,ADAM C POWELL BOULEVARD
Manhattan,122,WEST 131 STREET
Brooklyn,930,MANHATTAN AVENUE
Queens,86-78,108 STREET
Queens,86-50,108 STREET
Queens,85-23,108 STREET
Queens,85-11,108 STREET
Queens,85-18,108 STREET
Queens,107-12,86 AVENUE
Queens,86-36,108 STREET
Queens,86-42,108 STREET
Queens,86-60,108 STREET
Queens,86-62,108 STREET
Manhattan,4043,BROADWAY
Manhattan,1210,ST NICHOLAS AVENUE
Manhattan,722,ST NICHOLAS AVENUE
Brooklyn,185A,QUINCY STREET
Brooklyn,989,MANHATTAN AVENUE
Manhattan,45,EAST 20 STREET
Brooklyn,522,LAFAYETTE AVENUE
Brooklyn,546,LAFAYETTE AVENUE
Brooklyn,742,DECATUR STREET
Brooklyn,155,MAC DOUGAL STREET
Brooklyn,251,MACDOUGAL STREET
Brooklyn,272,MAC DOUGAL STREET
Brooklyn,1226,HERKIMER STREET
Brooklyn,1324,AVENUE L
Brooklyn,1324,AVENUE L
Queens,124-12,85 AVENUE
Manhattan,570,2 AVENUE
Brooklyn,1898,BAY AVENUE
Brooklyn,1333,E 18 ST
Manhattan,240,EAST 59 STREET
Queens,,
Manhattan,4068,BROADWAY
Manhattan,4062,BROADWAY
Manhattan,4083,BROADWAY
Manhattan,4139,BROADWAY
Manhattan,4131,BROADWAY
Manhattan,138,WEST 133 STREET
Manhattan,106,WEST 133 STREET
Staten Island,2750,VETERANS ROAD WEST
Staten Island,2750,VETERANS ROAD WEST
Manhattan,344,WEST  89 STREET
Manhattan,306,WEST  81 STREET
Brooklyn,1417,EAST 14 STREET
Brooklyn,1355,E 18 ST
Brooklyn,1384,EAST 18 STREET
Brooklyn,1501,EAST 18 STREET
Brooklyn,1331,EAST 14 STREET
Brooklyn,1382,EAST 14 STREET
Staten Island,8,MOODY PLACE
Manhattan,145,CENTRAL PARK WEST
Manhattan,101,RIVERSIDE DRIVE
Brooklyn,1805,AVENUE M
Brooklyn,1703,AVENUE M
Brooklyn,1259,EAST 13 STREET
Brooklyn,1458,EAST 18 STREET
Brooklyn,1598,E 18 ST
Queens,153-32,83 STREET
Queens,83-06,155 AVENUE
Bronx,,
Brooklyn,1340,EAST 14 STREET
Brooklyn,1344,EAST 14 STREET
Brooklyn,1372,EAST 14 STREET
Brooklyn,1564,EAST 14 STREET
Brooklyn,1325,ELM AVENUE
Brooklyn,1554,EAST 14 STREET
Brooklyn,1316,ELM AVENUE
Brooklyn,1516,EAST 15 STREET
Brooklyn,1213,ELM AVENUE
Brooklyn,1709,AVENUE M
Brooklyn,1703,AVENUE M
Brooklyn,1213,ELM AVENUE
Brooklyn,1222,AVENUE M
Brooklyn,1305,ELM AVENUE
Brooklyn,1309,ELM AVENUE
Brooklyn,1280,EAST 12 STREET
Brooklyn,1705,AVENUE M
Brooklyn,1259,EAST 13 STREET
Brooklyn,1280,EAST 12 STREET
Brooklyn,1705,AVENUE M
Brooklyn,1705,AVENUE M
Brooklyn,1280,EAST 12 STREET
Brooklyn,1619,AVENUE M
Brooklyn,1314,ELM AVENUE
Brooklyn,1325,ELM AVENUE
Brooklyn,1420,ELM AVENUE
Brooklyn,1280,EAST 12 STREET
Brooklyn,1280,EAST 12 STREET
Brooklyn,1625,CONEY ISLAND AV
Brooklyn,1625,CONEY ISLAND AV
Manhattan,505,WEST  23 STREET
Manhattan,97,10 AVENUE
Manhattan,303,9 AVENUE
Manhattan,303,9 AVENUE
Manhattan,,
Manhattan,,
Queens,59-17,58 AVENUE
Manhattan,510,WEST  50 STREET
Bronx,4602,PALISADE AVENUE
Manhattan,371,AMSTERDAM AVENUE
Manhattan,321,AMSTERDAM AVENUE
Manhattan,128,WEST  75 STREET
Manhattan,,
Brooklyn,57,NOBLE STREET
Manhattan,406,WEST  39 STREET
Manhattan,259,WEST  10 STREET
Manhattan,176,PERRY STREET
Manhattan,176,PERRY STREET
Bronx,/,/
Manhattan,4290,BROADWAY
Manhattan,4462,BROADWAY
Manhattan,,
Queens,230-05,141 AVENUE
Queens,230-07,141 AVENUE
Queens,230-09,141 AVENUE
Queens,242-24,130 AVENUE
Queens,251-19,86 AVENUE
Queens,251-19,86 AVENUE
Bronx,1043,EAST 163 STREET
Staten Island,228,ARBUTUS AVENUE
Bronx,0,park
Manhattan,1642,LEXINGTON AVENUE
Manhattan,280,RIVINGTON STREET
Bronx,719,BRUCKNER BOULEVARD
Staten Island,107,MONTREAL AVENUE
Staten Island,5370,AMBOY ROAD
Staten Island,,
Manhattan,327,EAST 108 STREET
Brooklyn,2188,MILL AVENUE
Manhattan,2065,2 AVENUE
Manhattan,2065,2 AVENUE
Bronx,/,/
Brooklyn,1123,HALSEY STREET
Brooklyn,541,CENTRAL AVENUE
Brooklyn,531,CENTRAL AVENUE
Brooklyn,556,CENTRAL AVENUE
Brooklyn,1084,HALSEY STREET
Brooklyn,1066,HALSEY STREET
Brooklyn,1068,HALSEY STREET
Manhattan,5047,BROADWAY
Manhattan,4898,BROADWAY
Manhattan,4863,BROADWAY
Brooklyn,1594,EAST  49 STREET
Queens,1710,WOODBINE STREET
Queens,1680,MADISON STREET
Queens,1680,MADISON STREET
Queens,1680,MADISON STREET
Queens,1680,MADISON STREET
Queens,55-18,NURGE AVENUE
Queens,59-41,60 AVENUE
Queens,61-58,62 AVENUE
Manhattan,37,PARK TERRACE EAST
Brooklyn,481,KNICKERBOCKER AVENUE
Brooklyn,607,KNICKERBOCKER AVENUE
Brooklyn,99,MOFFAT STREET
Brooklyn,104,MOFFAT STREET
Brooklyn,95,MOFFAT STREET
Manhattan,130,EAST 104 STREET
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Brooklyn,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Queens,,
Staten Island,212,NORTH RAILROAD STREET
Staten Island,28,NORTH RAILROAD STREET
Staten Island,40,NORTH RAILROAD STREET
Queens,258-27,147 AVENUE
Queens,89-23,187 PLACE
Queens,89-11,187 PLACE
Queens,89-05,187 PLACE
Queens,89-12,187 PLACE
Queens,90-04,187 PLACE
Queens,90-04,187 PLACE
Queens,90-16,188 STREET
Queens,90-20,188 STREET
Queens,89-26,189 STREET
Queens,90-29,189 STREET
Queens,90-29,189 STREET
Queens,90-29,189 STREET
Queens,189-02,89 AVENUE
Queens,88-17,190 STREET
Queens,189-16,HILLSIDE AVENUE
Queens,189-16,HILLSIDE AVENUE
Queens,88-26,190 STREET
Brooklyn,534,FLATBUSH AVENUE
Brooklyn,534,FLATBUSH AVENUE
Queens,51-11,JACOBUS STREET
Queens,51-23,IRELAND STREET
Queens,33-23,147 PLACE
Queens,,
Queens,90-72,199 STREET
Queens,90-72,199 STREET
Queens,93-02,FRANCIS LEWIS BOULEVARD
Queens,89-53,204 STREET
Queens,89-53,199 STREET
Queens,197-10,89 ROAD
Queens,196-28,89 AVENUE
Queens,89-01,202 STREET
Staten Island,212,NORTH RAILROAD STREET
Staten Island,250,CORSON AVENUE
Staten Island,36,PINE STREET
Staten Island,45,PINE STREET
Staten Island,185,SAINT MARKS PLACE
Staten Island,58,LYNHURST AVENUE
Staten Island,58,LYNHURST AVENUE
Staten Island,49,LYNHURST AVENUE
Manhattan,2440,AMSTERDAM AVENUE
Queens,196-03,JAMAICA AVENUE
Queens,91-21,196 STREET
Queens,91-08,196 STREET
Queens,91-06,196 STREET
Queens,89-44,196 STREET
Queens,197-01,89 AVENUE
Queens,197-01,89 ROAD
Queens,197-01,89 ROAD
Queens,89-20,197 STREET
Queens,89-37,198 STREET
Queens,90-30,201 STREET
Queens,89-29,202 STREET
Queens,89-25,202 STREET
Queens,90-54,202 STREET
Queens,90-40,204 STREET
Queens,90-29,204 STREET
Queens,89-19,205 STREET
Manhattan,*,LAGUARDIA PL
Manhattan,*,LAGUARDIA PL
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Staten Island,,
Queens,156-27,75 STREET
Queens,156-23,75 STREET
Queens,158-03,86 STREET
Brooklyn,735,BERGEN STREET
Brooklyn,2127,60 STREET
Brooklyn,2163,60 STREET
Brooklyn,2139,60 STREET
Brooklyn,2142,59 STREET
Brooklyn,2162,59 STREET
Brooklyn,225,AVENUE M
Staten Island,,
Manhattan,231,8 AVENUE
Manhattan,206,8 AVENUE
Manhattan,252,WEST  21 STREET
Queens,50-03,229 STREET
Queens,50-03,229 STREET
Queens,50-03,229 STREET
Queens,50-03,229 STREET
Queens,50-03,229 STREET
Queens,50-03,229 STREET
Queens,79-18,212 STREET
Queens,42-27,217 STREET
Queens,50-28,HORATIO PARKWAY
Brooklyn,456,FULTON STREET
Staten Island,90,ALBEE AVENUE
Staten Island,212,NORTH RAILROAD STREET
Staten Island,212,NORTH RAILROAD AVENUE
Staten Island,212,NORTH RAILROAD STREET
Bronx,360,EAST 234 STREET
Bronx,360,EAST 234 STREET
Bronx,4231,VIREO AVENUE
Bronx,4231,VIREO AVENUE
Bronx,343,EAST 233 STREET
Bronx,343,EAST 233 STREET
Bronx,231,EAST 234 STREET
Bronx,231,EAST 234 STREET
Queens,29-37,PARSONS BOULEVARD
Queens,144-17,29 AVENUE
Queens,144-60,29 AVENUE
Queens,147-36,8 AVENUE
Brooklyn,73,BUSHWICK AV
Brooklyn,259,DEVOE STREET
Brooklyn,901,GRAND STREET
Brooklyn,901,GRAND STREET
Brooklyn,921,GRAND STREET
Brooklyn,3,CATHERINE STREET
Brooklyn,24,CATHERINE STREET
Queens,42-03,189 STREET
Queens,29-11,203 STREET
Queens,26-22,202 STREET
Queens,43-11,UTOPIA PARKWAY
Queens,43-15,UTOPIA PARKWAY
Queens,43-37,UTOPIA PARKWAY
Queens,,
Queens,,
Queens,,
Staten Island,,
Manhattan,979,1 AVENUE
Queens,50-20,232 STREET
Brooklyn,1135,39 STREET
Brooklyn,1224,38 STREET
Brooklyn,1141,39 STREET
Brooklyn,1158,39 STREET
Brooklyn,1144,39 STREET
Brooklyn,1142,39 STREET
Brooklyn,1040,40 STREET
Brooklyn,697,5 AVENUE
Brooklyn,725,49 STREET
Brooklyn,4524,8 AVENUE
Brooklyn,252,22 STREET
Brooklyn,463,7 AVENUE
Brooklyn,401,PROSPECT AVENUE
Brooklyn,732,EAST 100 STREET
Bronx,1094,SIMPSON STREET
Bronx,1133,TIFFANY STREET
Staten Island,127,BENNETT AVENUE
Staten Island,234,BENNETT AVENUE
Brooklyn,1243,MADISON STREET
Brooklyn,1186,PUTNAM AVENUE
Manhattan,4862,BROADWAY
Brooklyn,1979,EASTERN PARKWAY EXTENSION
Brooklyn,10,SACKMAN STREET
Brooklyn,2180,FULTON STREET
Queens,84-11,112 STREET
Queens,84-19,112 STREET
Queens,112-01,85 AVENUE
Queens,112-15,84 AVENUE
Queens,112-15,84 AVENUE
Queens,112-15,84 AVENUE
Queens,112-09,84 AVENUE
Queens,83-07,116 STREET
Queens,83-03,116 STREET
Queens,113,81 AVENUE
Queens,80-20,GRENFELL STREET
Bronx,,
Brooklyn,505,ROGERS AVENUE
Queens,84-36,121 STREET
